,CH1
Second,Volt
7.32000e-05,-2.40e-01, 
7.42000e-05,-2.08e-01, 
7.52000e-05,-2.08e-01, 
7.62000e-05,-1.52e-01, 
7.72000e-05,-1.84e-01, 
7.82000e-05,-2.64e-01, 
7.92000e-05,-2.64e-01, 
8.02000e-05,-3.20e-01, 
8.12000e-05,-3.04e-01, 
8.22000e-05,-2.64e-01, 
8.32000e-05,-2.88e-01, 
8.42000e-05,-2.56e-01, 
8.52000e-05,-2.64e-01, 
8.62000e-05,-2.16e-01, 
8.72000e-05,-2.32e-01, 
8.82000e-05,-3.04e-01, 
8.92000e-05,-2.88e-01, 
9.02000e-05,-3.44e-01, 
9.12000e-05,-3.44e-01, 
9.22000e-05,-3.04e-01, 
9.32000e-05,-3.12e-01, 
9.42000e-05,-2.80e-01, 
9.52000e-05,-3.04e-01, 
9.62000e-05,-2.48e-01, 
9.72000e-05,-2.48e-01, 
9.82000e-05,-3.20e-01, 
9.92000e-05,-3.12e-01, 
1.00200e-04,-3.52e-01, 
1.01200e-04,-3.44e-01, 
1.02200e-04,-3.12e-01, 
1.03200e-04,-3.20e-01, 
1.04200e-04,-2.72e-01, 
1.05200e-04,-2.96e-01, 
1.06200e-04,-2.48e-01, 
1.07200e-04,-2.56e-01, 
1.08200e-04,-2.88e-01, 
1.09200e-04,-2.80e-01, 
1.10200e-04,-3.20e-01, 
1.11200e-04,-3.12e-01, 
1.12200e-04,-2.64e-01, 
1.13200e-04,-2.88e-01, 
1.14200e-04,-2.64e-01, 
1.15200e-04,-2.64e-01, 
1.16200e-04,-2.32e-01, 
1.17200e-04,-2.24e-01, 
1.18200e-04,-2.56e-01, 
1.19200e-04,-2.32e-01, 
1.20200e-04,-2.64e-01, 
1.21200e-04,-2.40e-01, 
1.22200e-04,-2.08e-01, 
1.23200e-04,-2.32e-01, 
1.24200e-04,-2.00e-01, 
1.25200e-04,-1.76e-01, 
1.26200e-04,-2.08e-01, 
1.27200e-04,-1.92e-01, 
1.28200e-04,-1.52e-01, 
1.29200e-04,-1.60e-01, 
1.30200e-04,-1.28e-01, 
1.31200e-04,-1.60e-01, 
1.32200e-04,-1.20e-01, 
1.33200e-04,-1.44e-01, 
1.34200e-04,-1.12e-01, 
1.35200e-04,-1.44e-01, 
1.36200e-04,-1.20e-01, 
1.37200e-04,-1.12e-01, 
1.38200e-04,-6.40e-02, 
1.39200e-04,-6.40e-02, 
1.40200e-04,-3.20e-02, 
1.41200e-04,-5.60e-02, 
1.42200e-04,-1.60e-02, 
1.43200e-04,-4.80e-02, 
1.44200e-04,-2.40e-02, 
1.45200e-04,-4.80e-02, 
1.46200e-04,-3.20e-02, 
1.47200e-04,-3.20e-02, 
1.48200e-04,1.60e-02, 
1.49200e-04,4.00e-02, 
1.50200e-04,8.80e-02, 
1.51200e-04,8.00e-02, 
1.52200e-04,5.60e-02, 
1.53200e-04,7.20e-02, 
1.54200e-04,4.80e-02, 
1.55200e-04,6.40e-02, 
1.56200e-04,3.20e-02, 
1.57200e-04,2.40e-02, 
1.58200e-04,1.20e-01, 
1.59200e-04,1.12e-01, 
1.60200e-04,1.76e-01, 
1.61200e-04,1.84e-01, 
1.62200e-04,1.52e-01, 
1.63200e-04,1.68e-01, 
1.64200e-04,1.36e-01, 
1.65200e-04,1.52e-01, 
1.66200e-04,1.12e-01, 
1.67200e-04,1.12e-01, 
1.68200e-04,1.84e-01, 
1.69200e-04,1.92e-01, 
1.70200e-04,2.56e-01, 
1.71200e-04,2.56e-01, 
1.72200e-04,2.24e-01, 
1.73200e-04,2.48e-01, 
1.74200e-04,2.08e-01, 
1.75200e-04,2.16e-01, 
1.76200e-04,1.68e-01, 
1.77200e-04,1.76e-01, 
1.78200e-04,2.40e-01, 
1.79200e-04,2.64e-01, 
1.80200e-04,3.12e-01, 
1.81200e-04,3.12e-01, 
1.82200e-04,2.80e-01, 
1.83200e-04,3.04e-01, 
1.84200e-04,2.64e-01, 
1.85200e-04,2.56e-01, 
1.86200e-04,2.24e-01, 
1.87200e-04,2.32e-01, 
1.88200e-04,2.80e-01, 
1.89200e-04,2.88e-01, 
1.90200e-04,3.52e-01, 
1.91200e-04,3.68e-01, 
1.92200e-04,3.12e-01, 
1.93200e-04,3.20e-01, 
1.94200e-04,2.96e-01, 
1.95200e-04,2.96e-01, 
1.96200e-04,2.56e-01, 
1.97200e-04,2.56e-01, 
1.98200e-04,3.12e-01, 
1.99200e-04,2.96e-01, 
2.00200e-04,3.44e-01, 
2.01200e-04,3.52e-01, 
2.02200e-04,3.12e-01, 
2.03200e-04,3.12e-01, 
2.04200e-04,2.80e-01, 
2.05200e-04,3.04e-01, 
2.06200e-04,2.56e-01, 
2.07200e-04,2.56e-01, 
2.08200e-04,2.96e-01, 
2.09200e-04,2.80e-01, 
2.10200e-04,3.12e-01, 
2.11200e-04,3.20e-01, 
2.12200e-04,2.80e-01, 
2.13200e-04,2.96e-01, 
2.14200e-04,2.56e-01, 
2.15200e-04,2.80e-01, 
2.16200e-04,2.40e-01, 
2.17200e-04,2.24e-01, 
2.18200e-04,2.56e-01, 
2.19200e-04,2.40e-01, 
2.20200e-04,2.56e-01, 
2.21200e-04,2.24e-01, 
2.22200e-04,2.48e-01, 
2.23200e-04,2.32e-01, 
2.24200e-04,2.00e-01, 
2.25200e-04,2.24e-01, 
2.26200e-04,1.92e-01, 
2.27200e-04,2.08e-01, 
2.28200e-04,1.68e-01, 
2.29200e-04,1.84e-01, 
2.30200e-04,1.52e-01, 
2.31200e-04,1.36e-01, 
2.32200e-04,1.52e-01, 
2.33200e-04,1.60e-01, 
2.34200e-04,1.28e-01, 
2.35200e-04,1.44e-01, 
2.36200e-04,1.20e-01, 
